1031	1100	0.001
624	624	0.001
985	1299	0.001
1100	376	0.001
333	1031	0.001
607	74	0.001
156	1056	0.001
798	798	0.001
184	1056	0.001
114	916	0.001
753	515	0.001
916	772	0.001
1292	919	0.001
1245	919	0.001
64	310	0.001
852	1031	0.001
852	1257	0.001
276	227	0.001
776	776	0.001
281	376	0.001
403	916	0.001
1261	1261	0.001
1015	753	0.001
246	515	0.001
144	1289	0.001
376	753	0.001
753	376	0.001
160	937	0.001
1031	852	0.001
1031	246	0.001
855	855	0.001
77	852	0.001
77	607	0.001
692	1076	0.001
1056	919	0.001
1056	1229	0.001
832	608	0.001
1015	144	0.001
607	5	0.001
826	607	0.001
559	559	0.001
919	1190	0.001
1031	1313	0.001
481	1100	0.001
906	1277	0.001
1253	1015	0.001
1296	281	0.001
518	1056	0.001
246	74	0.001
621	372	0.001
156	621	0.001
553	916	0.001
1190	1292	0.001
919	1292	0.001
1245	77	0.001
1076	1100	0.001
852	77	0.001
852	1015	0.001
1056	403	0.001
1296	376	0.001
937	276	0.001
937	333	0.001
832	937	0.001
227	1292	0.001
608	246	0.001
376	1313	0.001
607	227	0.001
515	1176	0.001
74	144	0.001
141	141	0.001
374	374	0.001
1245	65	0.001
795	1299	0.001
682	682	0.001
77	1190	0.001
1299	916	0.001
1299	621	0.001
1257	1031	0.001
1257	376	0.001
1257	515	0.001
518	276	0.001
621	1229	0.001
556	144	0.001
607	937	0.001
515	1253	0.001
1240	1240	0.001
553	553	0.001
153	1056	0.001
753	937	0.001
916	1176	0.001
1190	376	0.001
959	1056	0.001
1031	408	0.001
131	1299	0.001
904	621	0.001
906	1076	0.001
615	615	0.001
852	281	0.001
1056	959	0.001
1056	915	0.001
937	406	0.001
1257	937	0.001
862	753	0.001
227	518	0.001
1313	916	0.001
246	1313	0.001
144	5	0.001
156	333	0.001
1190	608	0.001
1190	753	0.001
408	1299	0.001
883	1056	0.001
1100	621	0.001
1253	1056	0.001
1056	65	0.001
1203	144	0.001
772	852	0.001
937	1229	0.001
621	1245	0.001
607	1031	0.001
607	1176	0.001
5	608	0.001
826	515	0.001
981	826	0.001
74	854	0.001
400	515	0.001
1156	1156	0.001
1252	184	0.001
1305	1252	0.001
916	156	0.001
916	1240	0.001
1245	832	0.001
1031	875	0.001
1289	582	0.001
470	1004	0.001
852	1253	0.001
852	607	0.001
1056	1240	0.001
1015	1252	0.001
494	650	0.001
608	1260	0.001
758	77	0.001
758	74	0.001
426	916	0.001
1252	153	0.001
374	1056	0.001
254	254	0.001
682	1299	0.001
200	515	0.001
852	1313	0.001
1299	753	0.001
1056	481	0.001
915	515	0.001
1260	144	0.001
1260	376	0.001
832	1015	0.001
227	955	0.001
454	916	0.001
1313	621	0.001
608	1252	0.001
826	144	0.001
981	74	0.001
758	515	0.001
1223	1292	0.001
98	98	0.001
277	1252	0.001
916	372	0.001
1190	77	0.001
1190	1015	0.001
613	613	0.001
1245	1313	0.001
1031	607	0.001
1031	515	0.001
883	937	0.001
985	64	0.001
131	1031	0.001
1100	852	0.001
1056	650	0.001
1056	184	0.001
849	454	0.001
1296	621	0.001
281	1190	0.001
1257	1245	0.001
403	227	0.001
227	607	0.001
621	1146	0.001
621	156	0.001
376	227	0.001
607	246	0.001
5	1190	0.001
981	246	0.001
981	608	0.001
798	621	0.001
74	916	0.001
871	916	0.001
525	525	0.001
916	909	0.001
919	1223	0.001
597	1031	0.001
1288	1288	0.001
968	968	0.001
32	906	0.001
852	276	0.001
852	515	0.001
1056	406	0.001
1203	852	0.001
772	77	0.001
